comment,label
Want more from Mike  He's starting a coding RPG Bootcamp   https   simulator dev,0
I'm 6 days away from turning 73 years old  and I'm learning Python,0
I'm a mechanic learning Python for fun  Love the challenge,1
The longest and most productive YouTube video that I've ever watched  Can't thank you enough for this invaluable Python course for beginners,1
Some Keypoints I noted down  Python   Always typecast your input Default input is always string   List   List can store multiple data types at a time   List Function   f1 extend  f2     adds two lists  f1 insert  index  f1   inserts an elements  f1 remove value    removes the element  f1 pop     removes last element off the list  f1 count value   counter   f1 reverse     reverses the original order of the list  f2 f1 copy     will copy one list to another    Tuple   can t be changed once declared same as list   Use normal brackets not square brackets  ex tuple     4 5       Function   Keyword   def  Example  def ex func     Every function needs to be called in order to be executed     IF  or       and      not    negate   Syntax   if condition1    elif condition2   else      Dictionaries   Can excess certain values by shortcuts or abbreviations   ex dic        Jan     January          Feb     February         print ex dic get   Jan      Invalid            used get   to avoid invalid  inputs    While   Syntax   while condition         For   Syntax   for variable in range  the range for loop          2D List   ex 2D      1 2 3      4 5 6     7 8 9     0     for row in ex 2D       for col in row           print col   OUTPUT    All elements one by one    Comments    anythinginsidethishashtagwillbeacomment     Try except  if user enters a wrong input   Syntax    try       ifanyerroroccurshereexceptwillrun   except typeoferror        statements   Read files   If you open a file  always close it    file open   file txt      r      thiswillreadthefile   print  file readable     readable  willgiveoutabooleanvalue   file close     readlines     will convert each line to an index of an array     Write files   file open   file txt      a      thiswillappend   file open   file txt      w      thiswilloverwrite,0
Great work man  I never understood the concept of coding like how i get it now before this video  I am a B tech Engineering  graduate and wish if I had a teacher like u in my graduation days I would have done 10 times better in my programing class and project works  Thank you once again,1
Excellent demonstration  However  adding real life examples of the uses of these concepts would have taken this video to a whole new level  For instance  where is loop used  Where do we need all the numbers printed out till the loop ends  What kind of organization  service  and format is each of your demonstrated concepts executed in  That remains to be discovered even after watching this video  Nevertheless  can't thank the teacher enough for covering so much of Python in this video,1
Hey  I'd like to thank you so much for this course  I have no knowledge in programming whatsoever  I had 0 experience yet I still learn and understand the more I go through the course  Thank you so much for the course,1
I completed this 4 26 52 hours course and this is longest video I ever watched in my life and thanks for this video it gonna help me a lot in my further python journey,1
I found this course a useful introduction to python  Your way of teaching is very hands on and easy to understand  Thanks,1
You have just mastered explaining the content in a very clear and a convenient way   Thank you so much   The very best video I have come across as a  beginner,1
Thank you SO SO SO much for creating this video  Your examples are amazing  and the order in which you teach these concepts is perfect  I wish I had you as an actual school teacher,1
This was definitely a better way to spend my 4 hours and half  Great job Mike and thanks for being an awesome teacher,1
You are a really good teacher  You have a gift to simplify concepts  explain clearly and show them in a way that facilitates natural learning   I also really enjoyed your simple yet effective examples  they are excellent for learning  and very bespoke to you    It would probably be great if there is part 2 of this video or series to continue the learning journey   Thanks again for the awesome course     much appreciated  Keep up the good work,1
This is the first time I ever said something good about a teacher  we should all deserve a teacher like him in all subjects,1
This was soooo nice  thank you so much  I m completely new to python and this is so easy to follow and understand  You explained everything so in depth and nice  Great tutorial,1
I learnt python from this video last year  I cleared two interviews in python this year and I am in a new job  Thank you smiling face,1
Such a cooool topic!,1
NiceGriffin  ye,0
49 month is too much crying face,-1
18 hours wow,0
lol me when broke,0
swallowedinthesea11  to less u mean,0
what do I watch after this,0
Yes i want his css courses,1
Lit,1
NiceGriffin   yeah bro,1
Thank you,1
sir   is there any difference between paid and community   i am having an interview for python on 30 and I am beginer,0
I really enjoyed this tutorial  You are a great teacher  Thanks,1
I want more of his vid pls,1
Is this version of Python up to date,0
