cid,text,label,votes,heart
1,Want more from Mike  He's starting a coding RPG Bootcamp   https   simulator dev,0,,
2,I'm 6 days away from turning 73 years old  and I'm learning Python,0,,
3,I'm a mechanic learning Python for fun  Love the challenge,1,,
4,The longest and most productive YouTube video that I've ever watched  Can't thank you enough for this invaluable Python course for beginners,1,,
5,Some Keypoints I noted down  Python   Always typecast your input Default input is always string   List   List can store multiple data types at a time   List Function   f1 extend  f2     adds two lists  f1 insert  index  f1   inserts an elements  f1 remove value    removes the element  f1 pop     removes last element off the list  f1 count value   counter   f1 reverse     reverses the original order of the list  f2 f1 copy     will copy one list to another    Tuple   can t be changed once declared same as list   Use normal brackets not square brackets  ex tuple     4 5       Function   Keyword   def  Example  def ex func     Every function needs to be called in order to be executed     IF  or       and      not    negate   Syntax   if condition1    elif condition2   else      Dictionaries   Can excess certain values by shortcuts or abbreviations   ex dic        Jan     January          Feb     February         print ex dic get   Jan      Invalid            used get   to avoid invalid  inputs    While   Syntax   while condition         For   Syntax   for variable in range  the range for loop          2D List   ex 2D      1 2 3      4 5 6     7 8 9     0     for row in ex 2D       for col in row           print col   OUTPUT    All elements one by one    Comments    anythinginsidethishashtagwillbeacomment     Try except  if user enters a wrong input   Syntax    try       ifanyerroroccurshereexceptwillrun   except typeoferror        statements   Read files   If you open a file  always close it    file open   file txt      r      thiswillreadthefile   print  file readable     readable  willgiveoutabooleanvalue   file close     readlines     will convert each line to an index of an array     Write files   file open   file txt      a      thiswillappend   file open   file txt      w      thiswilloverwrite,0,,
6,Great work man  I never understood the concept of coding like how i get it now before this video  I am a B tech Engineering  graduate and wish if I had a teacher like u in my graduation days I would have done 10 times better in my programing class and project works  Thank you once again,1,,
7,Excellent demonstration  However  adding real life examples of the uses of these concepts would have taken this video to a whole new level  For instance  where is loop used  Where do we need all the numbers printed out till the loop ends  What kind of organization  service  and format is each of your demonstrated concepts executed in  That remains to be discovered even after watching this video  Nevertheless  can't thank the teacher enough for covering so much of Python in this video,1,,
8,Hey  I'd like to thank you so much for this course  I have no knowledge in programming whatsoever  I had 0 experience yet I still learn and understand the more I go through the course  Thank you so much for the course,1,,
9,I completed this 4 26 52 hours course and this is longest video I ever watched in my life and thanks for this video it gonna help me a lot in my further python journey,1,,
10,I found this course a useful introduction to python  Your way of teaching is very hands on and easy to understand  Thanks,1,,
11,You have just mastered explaining the content in a very clear and a convenient way   Thank you so much   The very best video I have come across as a  beginner,1,,
12,Thank you SO SO SO much for creating this video  Your examples are amazing  and the order in which you teach these concepts is perfect  I wish I had you as an actual school teacher,1,,
13,This was definitely a better way to spend my 4 hours and half  Great job Mike and thanks for being an awesome teacher,1,,
14,You are a really good teacher  You have a gift to simplify concepts  explain clearly and show them in a way that facilitates natural learning   I also really enjoyed your simple yet effective examples  they are excellent for learning  and very bespoke to you    It would probably be great if there is part 2 of this video or series to continue the learning journey   Thanks again for the awesome course     much appreciated  Keep up the good work,1,,
15,This is the first time I ever said something good about a teacher  we should all deserve a teacher like him in all subjects,1,,
16,This was soooo nice  thank you so much  I m completely new to python and this is so easy to follow and understand  You explained everything so in depth and nice  Great tutorial,1,,
17,I learnt python from this video last year  I cleared two interviews in python this year and I am in a new job  Thank you smiling face,1,,
18,Such a cooool topic!,1,,
19,NiceGriffin  ye,0,,
20,49 month is too much crying face,-1,,
21,18 hours wow,0,,
22,lol me when broke,0,,
23,swallowedinthesea11  to less u mean,0,,
24,what do I watch after this,0,,
25,Yes i want his css courses,1,,
26,Lit,1,,
27,NiceGriffin   yeah bro,1,,
28,Thank you,1,,
29,sir   is there any difference between paid and community   i am having an interview for python on 30 and I am beginer,0,,
30,I really enjoyed this tutorial  You are a great teacher  Thanks,1,,
31,I want more of his vid pls,1,,
32,Is this version of Python up to date,0,,
33,Barca Koseoglu  You're welcome  All the best,0,,
34,I want more from Mike   Pls,1,,
35,Thein Zaw Oo  Search 'Mike Dane ' He has tons of videos,0,,
36,Does python program Mobile apps because I need it to my colleage project can any one answer me fast folded handsfolded hands,0,,
37,Barca Koseoglu  no not right now the current one is 3 10 i think,0,,
38,red hood  anime lol,0,,
39,This is the best tutorial for Python  Thanks a lot,1,,
40,woah 49  is almost equal my food money for a month,0,,
41,1 59 07 When I type exactly whats on the screen it says on my computer syntax error  invalid syntax  never did anything wrong though,0,,
42,ANewGalaxyFilmsTV  Syntax error means you did something wrong  Please paste the code,0,,
43,Just finished watching it all,0,,
44,Could i download both,0,,
45,can I download this on hp laptop,0,,
46,Yes sir,1,,
47,Yes alot,1,,
48,Barca Koseoglu  yes ut is still work,0,,
49,Can we have Mike refresh this in 2021,1,,
50,this was really nice,1,,
51,I dont see anyone commenting on how you're playing the guitar  upside down   What a truly incredible art,1,,
52,This feels like a hug from a friend that you really needed,1,,
53,Really good,1,,
54,Heaven  Listening her voice in my room  without lights and with earphones  every night,1,,
55,This is insane  How has no one commented on the fact that she's playing a right handed guitar left handed  Mad talent,1,,
56,Ths is my favorite song to listen to especially when I'm feeling down  You did Mac justice,1,,
57,I can listen to this angelic rendition till the end of my days,1,,
58,The feeling I get just listening to this cover is just warmth   emotional warmth,1,,
59,The absolute ease in which you're playing this song is amazing,1,,
60,something to touch your heart and fall in love   after a stressful day or week  Thank you for these wholesome and loveley tunes  3 3,1,,
61,I don t ever comment on videos  But this  This  Is the most perfect tune and adaption  Makes me happy even for a brief moment  Thank you,1,,
62,Beautiful  sultry voice and an old soul in a such a young vessel   Well done,1,,
63,So glad this is now on Spotify,1,,
64,One of my favorite songs and covers both  Love the personal touch  you put on it,1,,
65,PastaOnMyNeck  damn  sorry to hear that bro  anyway what the people here are saying is that in selfie mode the image gets flipped along the vertical axis  not the horizontal  so even if it were flipped  it wouldnt explain the way the strings are arranged at all,-1,,
66,Hey stop messing with  PastaOnMyNeck  he's right  I get his her kind of humor  I send you an ultra big hug wherever you are baby,-1,,
67,Like Jimi Hendrix,0,,
68,WhiteBread  Most people don t even know of her,-1,,
69,PastaOnMyNeck  if it would flip the strings upside down your head would be at the bottom,-1,,
70,PastaOnMyNeck  I'm sorry to hear it  you might have not given the easiest path in life but I believe in you to be the best self you can be  You matter,1,,
71,just like hendrix himself,0,,
72,Lends well to her tone,1,,
73,I think its just the video is mirror so everything is reversed,0,,
74,how would I know   D,0,,
75,why are people impressed if she is playing upside down anyways    thats just the wrong way to play and would only hold you back in guitar,-1,,
76,Jos  Luis Fern ndez  HAHAHAHAH,0,,
77,Omar Othman  wrong,-1,,
78,It was terrible,-1,,
79,I don't really like it,-1,,
80,It's fake ,-1,,
81,"It's horrible, man",-1,,
82,"I appreciate the performance, but I don't like the topic actuallly",-1,,
83,Jos  Luis Fern ndez  i dont know if u try to share or just make me wrong,-1,,
84,Jos  Luis Fern ndez  i should put maybe cuz i'm not saying im full right,-1,,
85,Shaurya Giri  Yea but Hendrix still strung his with the heavy E string on top  She's still got hers on the bottom  truly a right handed guitar being played upside down,0,,
86,lol there was a big musician that played like that ii cant remember for the life of me who it was  but yeah i noticed  i mean if thats how she taught herself to play from the beginning id  imagine it just feels like normal playing,-1,,
87,insane wooow,1,,
88,bro thats not talent its hard work,1,,
89,She is a witch,1,,
90,This brings back a lot of memories  started watching this back in '05 when I was 16  Man  season 1 4 of this show is some of the best tv I've seen,1,,
91,there s one thing i don t understand  how does ted remember so many moments in like 5 years of his life that happened like 5 years ago so vividly,0,,
92,ted and barney saying  fantasy football  at the same time then looking at each other like that is the ultimate bros got each other's backs moment,1,,
93,Lily's loud eating noises might just be the funniest moment in the whole series,1,,
94,This is amazing  the editing  the scenes   Thank you for uploading  my good sir,1,,
95,The show sucks,-1,,
96,4 38  Miracle  I actually always lose it in that scene face with tears of joyface with tears of joyface with tears of joy Also   4 45 Lily saying  hey  Woah  Ahh I don t care  rolling on the floor laughing,0,,
97,She is so sad and defenceless    Barney  Does anyone have a condom   face with tears of joyface with tears of joyface with tears of joyface with tears of joyface with tears of joyface with tears of joy,-1,,
98,Lying  cheating and selling the odd woman  Yeah I doubt it's exclusive to them,-1,,
99,ah shit  here we go again,-1,,
100,I am a modern day feminist and I love Barney,1,,
101,Well maybe not some aspects but he has great character development,0,,
102,Tacolisha Taco   Not exactly what I love but compared to how I hated some of his scenes in the start  he came such a long way,-1,,
103,The best part is that the actor who plays him is NPH who is the most wholesome and elaborately elegant gay man who is married with two adorable kids and they have so much classface with tears of joy He s such a good actor,1,,
104,Mario Jane I love barney cause he s hilarious but he s not exactly the best person,0,,
105,Ginny Weasley  You're not a feminist just because you self proclaim on YouTube videos  Fuck off to Saudi Arabia and go do some real 'feminism' work,-1,,
106,face with tears of joyface with tears of joyface with tears of joy,-1,,
107,Liam Gallagher     Feminist   f m n st  noun a person who supports feminism   Lmao if you're gonna try make someone look dumb at least make sure your point actually makes fucking sense smh,-1,,
108,Liam Gallagher  watched shameless cause there's liam gallagher out there   Be nice btw,-1,,
109,so barney is everything,0,,
110,Ginny Weasley  SAMAY KI MOD IDHAR BHI AA GAYI   YEH KYA CHAL RAHA HAI,0,,
111,Sourav Sinha   lolface with tears of joy,0,,
112,Ted and Victoria full love story please check it out and subscribe to the channel  https   youtu be cLP6nqitPrA  part 4 https   youtu be  YUaMnvBh M   part 3 https   youtu be aW3S402d bc   part 2 https   youtu be mKu2iwMBi2Q  part 1,0,,
113,Lets be real here in real life a guy like that wouln't have any friends,-1,,
114,Why do I feel like this is one of those  I edited the thing so no one will know the original thing face with tears of joy,-1,,
115,Liam Gallagher  oh hi there liam gallagher,0,,
116,You mean being gay,0,,
117,being awesome  Yeah I agree,1,,
118,Liam Gallagher  face with tears of joyface with tears of joyface with tears of joyface with tears of joyface with tears of joyface with tears of joyface with tears of joy,-1,,
119,Yup but he the goat eyes,0,,
120,https   youtu be SxhxzXJdLdE How I met your mother in 1 minute,0,,
121,Highly doubt even sexist people would like someone with Barney's traits  But overall he is funny and a person with lots of issues  People can relate with his messiness  That's why he is the most popular character in HIMYM,1,,
122,Aiden Furry  Just because someone says they are  Feminist   Doesn't mean they have to go to middle east or Africa or other third world countries to prove their stand on it  Feminism can be practiced in everywhere    And if you don't like  Mordern Feminism  than be traditional actual feminist  Saying half assed words in social media will gradually give people the idea that feminism is bad,-1,,
123,Fabi  yes he carried the whole show,0,,
124,I binge watched the series 3 times and the first time I finished it I cried my heart out,1,,
125,Rashi Bajpai  i just finished the series today i feel something heavy leaving it,0,,
126,soo  I just finished a rerun today  Managed to not to binge watch all the way through  New goal for the next one  Once every week  I watch two episodes  no more  no less  Could be one hell of a journey  I've found that binge watching is actually the worst way to enjoy this show,-1,,
127,soo  hi  may i know where to watch the series  tq,0,,
128,Akila Manan  I watched on netflix,0,,
129,I binge watched it during quarantine,0,,
130,Akila Manan  telegram,0,,
131,just rewatched it and I feel and empty void that no other show can fill,-1,,
132,I know your feelings  i watch it about every 2 years,0,,
133,I am on season 4 right now I watched it form netflix and it feels so fast   I was tried  to slowcdown watching it because I can't imagine how my life without this seriesloudly crying face   But I watch 6 episode a day     HELPPP I DON'T WANT TO LOST THIS MASTERPIECE,1,,
134,Probably the same thing i felt yesterday,0,,
135,Its not that good of a show,-1,,
136,Terrible show ted and barney are the worst i really hate them,-1,,
137,Dr Visser  It's all right if you don't like it  but if that's the case  why are you on this video  face with tears of joy,0,,
138,Billy Fox  I just wannet to see what it was,0,,
139,Dr Visser  Ah  well  that's fair enough  I suppose,0,,
140,Same,0,,
141,Litterly cried in bed after I finished the show TwT,-1,,
142,Right,1,,
143,You should watch Friends,0,,
144,I finished it last week lol,0,,
145,Rewatch it bro  Gets better everytime,1,,
146,J E  I keep rewatching it,1,,
147,Freddie Mercury check mark  I've rewatched more times than I can count,1,,
148,same  i literally downloaded all the episodes and saved it to my USB so that i can watch it anytime,1,,
149,Used to love the show but only recently realised how many ideas were taken from Seinfeld,-1,,
150,Anna  and  ideas were taken from friends,0,,
151,Better than every show  FRIENDS specially,1,,
152,Yellow Flash  big time agreed,0,,
153,Yellow Flash  no and why did you like your own comment and people can chose there own favourite show you like himym I prefer Friends it's your own opinion,-1,,
154,i feel the exact same way,0,,
155,I did today and I'm so sad omg,-1,,
156,Watch Big Bang Theory  u won't regret,1,,
157,Pushkar  does it get better  I started watching but it wasn't really good in my opinion,-1,,
158,Pushkar  I watched it it's not that good Friends Cobra kai and breaking bad is better,0,,
159,Rashi Bajpai  I literally cried so much the last 3 episodes  I CANNOT,0,,
160,Sameeee,0,,
161,We want a HIMYM REUNION,0,,
162,I agree with you  some day they come on my dream grinning face with sweat,1,,
163,Which episode is when Robin says  why Ted dont marry me,0,,
164,Who came here to see if this years rewind beat it in dislikes,0,,
165,I don't feel so well,-1,,
166,"Hey, that's insane fire",1,,
167,I hate that guy,-1,,
168,I don't think the show is good ,-1,,
169,boring,-1,,
170,I am down,-1,,
171,"Hello guys, welcome to my channel",0,,
172,Divine s lyrics is extremely ambitious,1,,
173,Jonathan starts with this relief music in stream red heart,1,,
174,Divine song line 1 40  Goosebumps on my hand           devine,0,,
175,Disclaimer   This song is extremely addictive,1,,
176,No competition Jonathan fire,1,,
177,When divine enters song go 's to another level red heartface blowing a kiss,1,,
178,Divine voice hits in another waysmiling face,1,,
